Sciezka;Etykiety
Dataset/train/images\BTR (1).jpg;Bird
Dataset/train/images\BTR (10).jpg;Bird
Dataset/train/images\BTR (100).jpg;Bird
Dataset/train/images\BTR (1000).jpg;Bird
Dataset/train/images\BTR (1001).jpg;Bird
Dataset/train/images\BTR (1002).jpg;Bird
Dataset/train/images\BTR (1003).jpg;Bird
Dataset/train/images\BTR (1004).jpg;Bird
Dataset/train/images\BTR (1005).jpg;Bird
Dataset/train/images\BTR (1006).jpg;Bird
Dataset/train/images\BTR (1007).jpg;Bird
Dataset/train/images\BTR (1008).jpg;Bird
Dataset/train/images\BTR (1009).jpg;Bird
Dataset/train/images\BTR (101).jpg;Bird
Dataset/train/images\BTR (1010).jpg;Bird
Dataset/train/images\BTR (1011).jpg;Bird
Dataset/train/images\BTR (1012).jpg;Bird
Dataset/train/images\BTR (1013).jpg;Bird
Dataset/train/images\BTR (1014).jpg;Bird
Dataset/train/images\BTR (1015).jpg;Bird
Dataset/train/images\BTR (1016).jpg;Bird
Dataset/train/images\BTR (1017).jpg;Bird
Dataset/train/images\BTR (1018).jpg;Bird
Dataset/train/images\BTR (1019).jpg;Bird
Dataset/train/images\BTR (102).jpg;Bird
Dataset/train/images\BTR (1020).jpg;Bird
Dataset/train/images\BTR (1021).jpg;Bird
Dataset/train/images\BTR (1022).jpg;Bird
Dataset/train/images\BTR (1023).jpg;Bird
Dataset/train/images\BTR (1024).jpg;Bird
Dataset/train/images\BTR (1025).jpg;Bird
Dataset/train/images\BTR (1026).jpg;Bird
Dataset/train/images\BTR (1027).jpg;Bird
Dataset/train/images\BTR (1028).jpg;Bird
Dataset/train/images\BTR (1029).jpg;Bird
Dataset/train/images\BTR (103).jpg;Bird
Dataset/train/images\BTR (1030).jpg;Bird
Dataset/train/images\BTR (1031).jpg;Bird
Dataset/train/images\BTR (1032).jpg;Bird
Dataset/train/images\BTR (1033).jpg;Bird
Dataset/train/images\BTR (1034).jpg;Bird
Dataset/train/images\BTR (1035).jpg;Bird
Dataset/train/images\BTR (1036).jpg;Bird
Dataset/train/images\BTR (1037).jpg;Bird
Dataset/train/images\BTR (1038).jpg;Bird
Dataset/train/images\BTR (1039).jpg;Bird
Dataset/train/images\BTR (104).jpg;Bird
Dataset/train/images\BTR (1040).jpg;Bird
Dataset/train/images\BTR (1041).jpg;Bird
Dataset/train/images\BTR (1042).jpg;Bird
Dataset/train/images\BTR (1043).jpg;Bird
Dataset/train/images\BTR (1044).jpg;Bird
Dataset/train/images\BTR (1045).jpg;Bird
Dataset/train/images\BTR (1046).jpg;Bird
